,date
0,35688
1,35689
2,35690
3,35691
4,35692
5,35693
6,35694
7,35695
8,35696
9,35697
10,35698
11,35699
12,35700
13,35701
14,35702
15,35703
16,35704
17,35705
18,35706
19,35707
20,35708
21,35709
22,35710
23,35711
24,35712
25,35713
26,35714
27,35715
28,35716
29,35717
30,35718
31,35719
32,35720
33,35721
34,35722
35,35723
36,35724
37,35725
38,35726
39,35727
40,35728
41,35729
42,35730
43,35731
44,35732
45,35733
46,35734
47,35735
48,35736
49,35737
50,35738
51,35739
52,35740
53,35741
54,35742
55,35743
56,35744
57,35745
58,35746
59,35747
60,35748
61,35749
62,35750
63,35751
64,35752
65,35753
66,35754
67,35755
68,35756
69,35757
70,35758
71,35759
72,35760
73,35761
74,35762
75,35763
76,35764
77,35765
78,35766
79,35767
80,35768
81,35769
82,35770
83,35771
84,35772
85,35773
86,35774
87,35775
88,35776
89,35777
90,35778
91,35779
92,35780
93,35781
94,35782
95,35783
96,35784
97,35785
98,35786
99,35787
100,35788
101,35789
102,35790
103,35791
104,35792
105,35793
106,35794
107,35795
108,35796
109,35797
110,35798
111,35799
112,35800
113,35801
114,35802
115,35803
116,35804
117,35805
118,35806
119,35807
120,35808
121,35809
122,35810
123,35811
124,35812
125,35813
126,35814
127,35815
128,35816
129,35817
130,35818
131,35819
132,35820
133,35821
134,35822
135,35823
136,35824
137,35825
138,35826
139,35827
140,35828
141,35829
142,35830
143,35831
144,35832
145,35833
146,35834
147,35835
148,35836
149,35837
150,35838
151,35839
152,35840
153,35841
154,35842
155,35843
156,35844
157,35845
158,35846
159,35847
160,35848
161,35849
162,35850
163,35851
164,35852
165,35853
166,35854
167,35855
168,35856
169,35857
170,35858
171,35859
172,35860
173,35861
174,35862
175,35863
176,35864
177,35865
178,35866
179,35867
180,35868
181,35869
182,35870
183,35871
184,35872
185,35873
186,35874
187,35875
188,35876
189,35877
190,35878
191,35879
192,35880
193,35881
194,35882
195,35883
196,35884
197,35885
198,35886
199,35887
200,35888
201,35889
202,35890
203,35891
204,35892
205,35893
206,35894
207,35895
208,35896
209,35897
210,35898
211,35899
212,35900
213,35901
214,35902
215,35903
216,35904
217,35905
218,35906
219,35907
220,35908
221,35909
222,35910
223,35911
224,35912
225,35913
226,35914
227,35915
228,35916
229,35917
230,35918
231,35919
232,35920
233,35921
234,35922
235,35923
236,35924
237,35925
238,35926
239,35927
240,35928
241,35929
242,35930
243,35931
244,35932
245,35933
246,35934
247,35935
248,35936
249,35937
250,35938
251,35939
252,35940
253,35941
254,35942
255,35943
256,35944
257,35945
258,35946
259,35947
260,35948
261,35949
262,35950
263,35951
264,35952
265,35953
266,35954
267,35955
268,35956
269,35957
270,35958
271,35959
272,35960
273,35961
274,35962
275,35963
276,35964
277,35965
278,35966
279,35967
280,35968
281,35969
282,35970
283,35971
284,35972
285,35973
286,35974
287,35975
288,35976
289,35977
290,35978
291,35979
292,35980
293,35981
294,35982
295,35983
296,35984
297,35985
298,35986
299,35987
300,35988
301,35989
302,35990
303,35991
304,35992
305,35993
306,35994
307,35995
308,35996
309,35997
310,35998
311,35999
312,36000
313,36001
314,36002
315,36003
316,36004
317,36005
318,36006
319,36007
320,36008
321,36009
322,36010
323,36011
324,36012
325,36013
326,36014
327,36015
328,36016
329,36017
330,36018
331,36019
332,36020
333,36021
334,36022
335,36023
336,36024
337,36025
338,36026
339,36027
340,36028
341,36029
342,36030
343,36031
344,36032
345,36033
346,36034
347,36035
348,36036
349,36037
350,36038
351,36039
352,36040
353,36041
354,36042
355,36043
356,36044
357,36045
358,36046
359,36047
360,36048
361,36049
362,36050
363,36051
364,36052
365,36053
366,36054
367,36055
368,36056
369,36057
370,36058
371,36059
372,36060
373,36061
374,36062
375,36063
376,36064
377,36065
378,36066
379,36067
380,36068
381,36069
382,36070
383,36071
384,36072
385,36073
386,36074
387,36075
388,36076
389,36077
390,36078
391,36079
392,36080
393,36081
394,36082
395,36083
396,36084
397,36085
398,36086
399,36087
400,36088
401,36089
402,36090
403,36091
404,36092
405,36093
406,36094
407,36095
408,36096
409,36097
410,36098
411,36099
412,36100
413,36101
414,36102
415,36103
416,36104
417,36105
418,36106
419,36107
420,36108
421,36109
422,36110
423,36111
424,36112
425,36113
426,36114
427,36115
428,36116
429,36117
430,36118
431,36119
432,36120
433,36121
434,36122
435,36123
436,36124
437,36125
438,36126
439,36127
440,36128
441,36129
442,36130
443,36131
444,36132
445,36133
446,36134
447,36135
448,36136
449,36137
450,36138
451,36139
452,36140
453,36141
454,36142
455,36143
456,36144
457,36145
458,36146
459,36147
460,36148
461,36149
462,36150
463,36151
464,36152
465,36153
466,36154
467,36155
468,36156
469,36157
470,36158
471,36159
472,36160
473,36161
474,36162
475,36163
476,36164
477,36165
478,36166
479,36167
480,36168
481,36169
482,36170
483,36171
484,36172
485,36173
486,36174
487,36175
488,36176
489,36177
490,36178
491,36179
492,36180
493,36181
494,36182
495,36183
496,36184
497,36185
498,36186
499,36187
500,36188
501,36189
502,36190
503,36191
504,36192
505,36193
506,36194
507,36195
508,36196
509,36197
510,36198
511,36199
512,36200
513,36201
514,36202
515,36203
516,36204
517,36205
518,36206
519,36207
520,36208
521,36209
522,36210
523,36211
524,36212
525,36213
526,36214
527,36215
528,36216
529,36217
530,36218
531,36219
532,36220
533,36221
534,36222
535,36223
536,36224
537,36225
538,36226
539,36227
540,36228
541,36229
542,36230
543,36231
544,36232
545,36233
546,36234
547,36235
548,36236
549,36237
550,36238
551,36239
552,36240
553,36241
554,36242
555,36243
556,36244
557,36245
558,36246
559,36247
560,36248
561,36249
562,36250
563,36251
564,36252
565,36253
566,36254
567,36255
568,36256
569,36257
570,36258
571,36259
572,36260
573,36261
574,36262
575,36263
576,36264
577,36265
578,36266
579,36267
580,36268
581,36269
582,36270
583,36271
584,36272
585,36273
586,36274
587,36275
588,36276
589,36277
590,36278
591,36279
592,36280
593,36281
594,36282
595,36283
596,36284
597,36285
598,36286
599,36287
600,36288
601,36289
602,36290
603,36291
604,36292
605,36293
606,36294
607,36295
608,36296
609,36297
610,36298
611,36299
612,36300
613,36301
614,36302
615,36303
616,36304
617,36305
618,36306
619,36307
620,36308
621,36309
622,36310
623,36311
624,36312
625,36313
626,36314
627,36315
628,36316
629,36317
630,36318
631,36319
632,36320
633,36321
634,36322
635,36323
636,36324
637,36325
638,36326
639,36327
640,36328
641,36329
642,36330
643,36331
644,36332
645,36333
646,36334
647,36335
648,36336
649,36337
650,36338
651,36339
652,36340
653,36341
654,36342
655,36343
656,36344
657,36345
658,36346
659,36347
660,36348
661,36349
662,36350
663,36351
664,36352
665,36353
666,36354
667,36355
668,36356
669,36357
670,36358
671,36359
672,36360
673,36361
674,36362
675,36363
676,36364
677,36365
678,36366
679,36367
680,36368
681,36369
682,36370
683,36371
684,36372
685,36373
686,36374
687,36375
688,36376
689,36377
690,36378
691,36379
692,36380
693,36381
694,36382
695,36383
696,36384
697,36385
698,36386
699,36387
700,36388
701,36389
702,36390
703,36391
704,36392
705,36393
706,36394
707,36395
708,36396
709,36397
710,36398
711,36399
712,36400
713,36401
714,36402
715,36403
716,36404
717,36405
718,36406
719,36407
720,36408
721,36409
722,36410
723,36411
724,36412
725,36413
726,36414
727,36415
728,36416
729,36417
730,36418
731,36419
732,36420
733,36421
734,36422
735,36423
736,36424
737,36425
738,36426
739,36427
740,36428
741,36429
742,36430
743,36431
744,36432
745,36433
746,36434
747,36435
748,36436
749,36437
750,36438
751,36439
752,36440
753,36441
754,36442
755,36443
756,36444
757,36445
758,36446
759,36447
760,36448
761,36449
762,36450
763,36451
764,36452
765,36453
766,36454
767,36455
768,36456
769,36457
770,36458
771,36459
772,36460
773,36461
774,36462
775,36463
776,36464
777,36465
778,36466
779,41297
780,41298
781,41299
782,41300
783,41301
784,41302
785,41303
786,41304
787,41305
788,41306
789,41307
790,41308
791,41309
792,41310
793,41311
794,41312
795,41313
796,41314
797,41315
798,41316
799,41317
800,41318
801,41319
802,41320
803,41321
804,41322
805,41323
806,41324
807,41325
808,41326
809,41327
810,41328
811,41329
812,41330
813,41331
814,41332
815,41333
816,41334
817,41335
818,41336
819,41337
820,41338
821,41339
822,41340
823,41341
824,41342
825,41343
826,41344
827,41345
828,41346
829,41347
830,41348
831,41349
832,41350
833,41351
834,41352
835,41353
836,41354
837,41355
838,41356
839,41357
840,41358
841,41359
842,41360
843,41361
844,41362
845,41363
846,41364
847,41365
848,41366
849,41367
850,41368
851,41369
852,41370
853,41371
854,41372
855,41373
856,41374
857,41375
858,41376
859,41377
860,41378
861,41379
862,41380
863,41381
864,41382
865,41383
866,41384
867,41385
868,41386
869,41387
870,41388
871,41389
872,41390
873,41391
874,41392
875,41393
876,41394
877,41395
878,41396
879,41397
880,41398
881,41399
882,41400
