,0,1,2
UXB测控天线,轨道偏心率,卫星速度Z方向,卫星位置Y方向
数传天线,磁强计Y轴,平近点角,磁强计Z轴
北航星敏,卫星速度Z方向,平近点角,磁强计Y轴
清华星敏A,卫星速度Z方向,平近点角,磁强计Y轴
清华星敏B,卫星速度Z方向,平近点角,磁强计Y轴
贮箱主份控温,±12V遥测,近地点角距,UV应答机2-5V发射电流
贮箱备份控温,UV应答机2-5V发射电流,±12V遥测,近地点角距
管路主份控温,卫星速度Z方向,平近点角,磁强计Y轴
管路备份控温,±12V遥测,卫星位置X方向,磁强计Y轴
相机支座,卫星速度Z方向,磁强计Y轴,平近点角
太敏01,轨道半长轴,卫星位置Y方向,卫星速度Z方向
太敏02,轨道半长轴,卫星位置Y方向,轨道偏心率
GPS天线1,卫星速度Z方向,平近点角,轨道偏心率
GPS天线2,卫星速度Z方向,平近点角,磁强计Y轴
备用,UV应答机2-3.3V电压,轨道倾角,轨道半长轴
推力器01,卫星速度Z方向,平近点角,轨道偏心率
推力器02,卫星速度Z方向,平近点角,磁强计Y轴
推力器03,卫星速度Z方向,平近点角,轨道偏心率
推力器04,卫星速度Z方向,平近点角,轨道偏心率
蓄电池主份控温,星敏1四元数q2,卫星速度Z方向,轨道偏心率
蓄电池备份控温,卫星速度Z方向,星敏1四元数q2,平近点角
体装帆板正面,卫星速度Y方向,母线电流,太阳阵电流
体装帆板背面,卫星速度Y方向,母线电流,太阳阵电流
自锁阀,卫星速度Z方向,磁强计Y轴,平近点角
压力传感器,卫星速度Z方向,平近点角,磁强计Y轴
电磁阀01,卫星速度Z方向,平近点角,磁强计Y轴
电磁阀02,卫星速度Z方向,平近点角,磁强计Y轴
电磁阀03,卫星速度Z方向,平近点角,磁强计Y轴
电磁阀04,卫星速度Z方向,平近点角,磁强计Y轴
北航陀螺,卫星速度Z方向,平近点角,磁强计Y轴
13所陀螺,卫星速度Z方向,平近点角,磁强计Y轴
电源控制器,卫星速度Z方向,平近点角,磁强计Y轴
UV单机,卫星速度Z方向,平近点角,磁强计Y轴
斜装飞轮,卫星速度Z方向,平近点角,磁强计Y轴
Y轴飞轮,卫星速度Z方向,平近点角,磁强计Y轴
X轴飞轮,卫星速度Z方向,平近点角,磁强计Y轴
Z轴飞轮,卫星速度Z方向,平近点角,磁强计Y轴
综合电子,卫星速度Z方向,平近点角,磁强计Y轴
X轴磁力矩器,磁强计Y轴,卫星速度Z方向,平近点角
Y轴磁力矩器,卫星速度Z方向,磁强计Y轴,平近点角
Z轴磁力矩器,卫星速度Z方向,平近点角,磁强计Y轴
磁强计,卫星速度Z方向,平近点角,磁强计Y轴
压缩单机,卫星速度Z方向,平近点角,轨道偏心率
UXB单机,卫星速度Z方向,平近点角,磁强计Y轴
微波网络,卫星速度Z方向,平近点角,磁强计Y轴
相机遮光罩,±12V遥测,磁强计Y轴,+5.2V遥测
相机机箱,±12V遥测,磁强计Y轴,卫星速度Z方向
